state,county,latitude,longitude
VA,Prince William,38.734255,-77.547383
MD,Charles,38.603783,-76.867928
MD,Saint Marys,38.247149,-76.748088
MD,Prince Georges,38.666071,-76.998396
MD,Calvert,38.444727,-76.533026
MD,Howard,39.1332,-76.798843
MD,Anne Arundel,38.802263,-76.645735
MD,Montgomery,38.96851,-77.140801
MD,Harford,39.499909,-76.231177
MD,Baltimore,39.496406,-76.486624
MD,Carroll,39.499102,-76.910108
MD,Baltimore City,39.296536,-76.623489
MD,Allegany,39.580691,-78.690593
MD,Garrett,39.58935,-79.230969
MD,Talbot,38.800714,-76.051486
MD,Queen Annes,39.073391,-76.060665
MD,Caroline,38.740562,-75.958683
MD,Kent,39.366812,-76.067079
MD,Dorchester,38.479813,-76.079864
MD,Frederick,39.512748,-77.369299
MD,Washington,39.666266,-77.954912
MD,Wicomico,38.382445,-75.633621
MD,Worcester,38.310447,-75.320901
MD,Somerset,37.998308,-75.818797
MD,Cecil,39.535078,-75.894051
VA,Fairfax City,38.853231,-77.305097
VA,Falls Church City,38.884177,-77.171752
VA,Arlington,38.885484,-77.099113
VA,Alexandria City,38.823062,-77.079622
VA,Fredericksburg City,38.295135,-77.483689
VA,Stafford,38.417273,-77.460814
VA,Spotsylvania,38.271969,-77.606772
VA,Caroline,38.008401,-77.260353
VA,Northumberland,37.837435,-76.345493
VA,Orange,38.344608,-77.871855
VA,Essex,38.024704,-77.037147
VA,Westmoreland,38.121793,-76.79025
VA,King George,38.326218,-77.039825
VA,Richmond,37.879797,-76.598782
VA,Lancaster,37.667319,-76.404996
VA,Winchester City,39.169668,-78.16856
VA,Frederick,39.150074,-78.268988
VA,Warren,38.818692,-78.275719
VA,Clarke,39.135711,-77.991926
VA,Shenandoah,38.983383,-78.403766
VA,Page,38.763022,-78.387191
VA,Culpeper,38.511694,-77.9928
VA,Madison,38.428509,-78.267848
VA,Harrisonburg City,38.422777,-78.877137
VA,Rockingham,38.490526,-78.817876
VA,Augusta,38.325455,-79.094228
VA,Albemarle,38.093604,-78.561139
VA,Charlottesville City,38.026588,-78.48045
VA,Nelson,37.972758,-78.82231
VA,Greene,38.270529,-78.557765
VA,Fluvanna,37.893119,-78.338579
VA,Waynesboro City,38.065794,-78.903445
VA,Gloucester,37.28822,-76.426013
VA,Amelia,37.342768,-77.984092
VA,Buckingham,37.563225,-78.53643
VA,Hanover,37.754912,-77.480128
VA,King William,37.798833,-77.180912
VA,New Kent,37.479524,-76.949981
VA,Goochland,37.733844,-77.888082
VA,Mathews,37.410286,-76.294103
VA,King And Queen,37.701823,-76.916248
VA,Louisa,37.90754,-77.798047
VA,Cumberland,37.64794,-78.138859
VA,Charles City,37.354115,-77.073103
VA,Middlesex,37.598391,-76.447551
VA,Henrico,37.531296,-77.416103
VA,James City,37.223482,-76.783317
VA,York,37.235892,-76.445567
VA,Powhatan,37.553314,-77.892964
VA,Chesterfield,37.454138,-77.66258
VA,Richmond City,37.524246,-77.493157
VA,Williamsburg City,37.310451,-76.746769
VA,Accomack,37.712919,-75.661132
VA,Isle Of Wight,36.989766,-76.572291
VA,Northampton,37.432247,-75.880425
VA,Chesapeake City,36.749991,-76.218759
VA,Suffolk City,36.874916,-76.553061
VA,Virginia Beach City,36.844004,-76.12036
VA,Norfolk City,36.895911,-76.208521
VA,Newport News City,37.058296,-76.463471
VA,Hampton City,37.072658,-76.38992
VA,Poquoson City,37.132326,-76.365419
VA,Portsmouth City,36.811498,-76.367715
VA,Prince George,37.233941,-77.334831
VA,Petersburg City,37.21713,-77.389253
VA,Brunswick,36.858078,-77.894632
VA,Dinwiddie,37.072361,-77.647495
VA,Nottoway,37.12237,-77.978923
VA,Southampton,36.611614,-77.207263
VA,Colonial Heights City,37.26219,-77.396989
VA,Surry,37.065785,-76.915537
VA,Emporia City,36.694745,-77.535517
VA,Franklin City,36.682635,-76.942233
VA,Hopewell City,37.286676,-77.296596
VA,Sussex,36.864325,-77.282567
VA,Greensville,36.721471,-77.531996
VA,Prince Edward,37.280694,-78.421284
VA,Mecklenburg,36.70774,-78.281204
VA,Charlotte,37.087895,-78.637846
VA,Lunenburg,36.918641,-78.052391
VA,Appomattox,37.377196,-78.80648
VA,Roanoke City,37.274175,-79.95786
VA,Roanoke,37.250349,-80.05251
VA,Botetourt,37.351517,-79.905211
VA,Montgomery,37.210663,-80.406172
VA,Patrick,36.612434,-80.504446
VA,Henry,36.670446,-79.742557
VA,Pulaski,37.198248,-80.615065
VA,Franklin,37.098391,-79.95233
VA,Pittsylvania,36.594226,-79.616614
VA,Floyd,37.044622,-80.227981
VA,Giles,37.277231,-80.670159
VA,Bedford,37.21229,-79.742886
VA,Martinsville City,36.681298,-79.86626
VA,Craig,37.498957,-80.138591
VA,Radford,37.119732,-80.556541
VA,Salem,37.28814,-80.067762
VA,Bristol,36.613815,-82.176238
VA,Washington,36.740217,-82.026738
VA,Wise,36.923445,-82.796445
VA,Dickenson,37.130943,-82.344881
VA,Lee,36.743491,-83.22336
VA,Russell,37.043978,-81.855318
VA,Buchanan,37.287992,-82.027408
VA,Scott,36.711382,-82.833676
VA,Norton City,36.93767,-82.622624
VA,Grayson,36.608229,-81.584934
